title|size_mb|is_appendix|sections|court_rules|total_units|chapters|subchapters|max_depth|max_section_chars|avg_section_chars|est_total_chunks|max_chunks_per_unit|avg_chunks_per_unit|b_1|b_2_3|b_4_10|b_11_30|b_31_plus|n_xrefs|xref_density_per_unit|rule_set_hint
T49|25.6|False|1371|0|1371|114|58|11|379600|8349|2677|64|1.95|891|355|109|14|2|32754|23.89|
T19|13.8|False|1111|0|1111|30|49|10|745746|6541|1944|125|1.75|843|186|72|8|2|26378|23.74|
T43|7.7|False|1464|0|1464|59|124|9|72063|2731|1727|13|1.18|1322|114|26|2|0|17430|11.91|
T46|9.4|False|1032|0|1032|108|31|10|82805|3465|1278|14|1.24|904|102|24|2|0|13319|12.91|
T36|7.1|False|1173|0|1173|132|7|12|24143|1410|1214|5|1.03|1144|27|2|0|0|5649|4.82|
T8|7.0|False|376|0|376|16|27|13|418635|10566|898|70|2.39|268|62|33|11|2|16699|44.41|
T48|4.4|False|661|0|661|21|43|5|281224|3392|861|47|1.3|601|47|8|4|1|11321|17.13|
T30|4.1|False|626|0|626|34|44|9|66161|3728|812|12|1.3|529|81|14|2|0|8269|13.21|
T47|5.7|False|432|0|432|16|28|12|125295|6963|770|21|1.78|304|92|31|5|0|7909|18.31|
T23|6.1|False|172|0|172|6|0|12|231625|18540|632|39|3.67|72|51|36|12|1|10725|62.35|
T14|3.7|False|449|0|449|17|31|10|93390|3529|547|16|1.22|387|57|4|1|0|9275|20.66|
T11|4.2|False|280|0|280|9|29|9|145543|7720|531|25|1.9|189|62|23|6|0|7388|26.39|
T45|2.9|False|294|0|294|22|29|11|75788|5927|482|13|1.64|231|38|23|2|0|8465|28.79|
T44|2.8|False|356|0|356|23|3|10|143722|3709|471|24|1.32|315|32|7|2|0|5817|16.34|
T54|3.1|False|366|0|366|56|22|9|52282|2737|427|9|1.17|333|27|6|0|0|2445|6.68|
T37|3.8|False|234|0|234|12|6|12|94214|6944|425|16|1.82|138|76|19|1|0|10529|45.0|
T17|2.6|False|153|0|153|15|4|9|153356|10445|360|26|2.35|100|26|23|4|0|3155|20.62|
T11a|2.0|True|0|229|229|0|0|7|59396|5400|345|10|1.51|165|55|9|0|0|102|0.45|FEDERAL RULES OF BANKRUPTCY PROCEDURE | 
T35|1.8|False|175|0|175|25|0|12|91769|5296|259|16|1.48|135|29|10|1|0|5025|28.71|
T39|2.0|False|181|0|181|22|7|10|65156|4377|252|11|1.39|146|28|6|1|0|3338|18.44|
T52|1.7|False|171|0|171|10|9|11|61600|4675|245|11|1.43|135|27|8|1|0|2782|16.27|
T24|0.6|False|162|0|162|11|11|8|16494|1769|176|3|1.09|151|11|0|0|0|2253|13.91|
T3|0.8|False|64|0|64|5|4|14|145039|6083|110|25|1.72|51|11|0|2|0|1664|26.0|
T32|0.9|False|78|0|78|5|0|9|41987|4630|107|7|1.37|64|11|3|0|0|1560|20.0|
T13|0.5|False|70|0|70|6|15|8|33061|3367|85|6|1.21|62|6|2|0|0|1380|19.71|
T4|0.3|False|47|0|47|5|0|9|15869|2569|52|3|1.11|44|3|0|0|0|465|9.89|
T27|0.2|False|45|0|45|10|2|5|20734|2661|52|4|1.16|40|4|1|0|0|671|14.91|
T1|0.3|False|39|0|39|3|0|9|29053|3249|51|5|1.31|34|2|3|0|0|720|18.46|
T9|0.1|False|33|0|33|4|0|5|3216|1153|33|1|1.0|33|0|0|0|0|255|7.73|
